Tweet,HS,Abusive,Label,Sentiment
 di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok bego ,1,1,Toxic,Negative
 siapa yang telat memberi tau kamu edan sarap gue bergaul dengan cigax jifla calis sama siapa itu licew juga ,0,1,Abusive,Negative
 kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,0,0,Netral,Positive
 aku itu aku dan ku tau matamu sipit tapi dilihat dari mana itu aku ,0,0,Netral,Positive
 kaum cebong kafir sudah kelihatan dongoknya dari awal tambah dungu lagi haha ,1,1,Toxic,Negative
 ya bani taplak dan kawan kawan xf xf x x xf xf x x xf xf x x ,1,1,Toxic,Negative
deklarasi pilihan kepala daerah aman dan anti hoaks warga dukuh sari jabon,0,0,Netral,Positive
gue baru saja selesai re watch aldnoah zero paling kampret memang akhirnya karakter utama cowoknya kena friendzone bro xd uniform resource locator,0,1,Abusive,Negative
nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau doket mana itu gerai rozak mertuaku taipan depan kembar baby amp romantika bank islam senawang ,0,0,Netral,Positive
 enak lagi kalau sambil ngewe ,0,1,Abusive,Negative
setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama bacot kamu xf xf x xf ,1,1,Toxic,Negative
 banci kaleng malu tidak bisa jawab pertanyaan kami dari hari lalu nyungsep koe uniform resource locator,1,1,Toxic,Negative
kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi ,0,0,Netral,Positive
aktor huru hara prabowo si ingin lengserkan pemerintahan jokowi nyata,1,0,Hatespeech,Negative
 bu guru enakan jadi jablay atau guru sekolah dasar sih kayaknya menikmati jadi pecun ini guru ,1,1,Toxic,Negative
 lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing onta gue mengakui hadis nabi dan itu sahih kafir kayak kamu pasti menolak makanya kamu ahlun nar ,1,1,Toxic,Negative
belakangan ini kok pikiran ampas banget ya ,0,0,Netral,Positive
ari sama beki adalah rapi monyet xf xf x x xf xf x x ,0,1,Abusive,Negative
jadi cowok itu harus gantle kalau tidak gantle itu namanya banci ,1,1,Toxic,Negative
 alga mnr bom xf xf x x ,0,0,Netral,Positive
anjing ya tapi gue jarang mengambek takut wkwk gue kan budak cinta ,0,1,Abusive,Negative
 kalau kamu noob pasti peluang disakiti nya lebih gede sih ,0,0,Netral,Positive
 joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak,0,0,Netral,Positive
pelajar sama kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah damai,0,0,Netral,Positive
bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan ,0,0,Netral,Positive
siapapun gubernur dan presidennya rakyatnya ya kita juga ,0,0,Netral,Positive
ini sih kerjaannya delay mulu setan ,1,1,Toxic,Negative
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget,0,0,Netral,Positive
 partai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong ,1,0,Hatespeech,Negative
 itu adalah sudah nenek nenek saya heran sama cebong biasanya bohong terus ,1,1,Toxic,Negative
 islam nusantara produk jil dipasarkan dengan gencar oleh antek xc xb jil dan sementara jil anti arab tapi pro asing dan kata almarhum kh hasyim muzadi ,1,0,Hatespeech,Negative
dari habis sahur sampai jam si bayi sudah nete x sekarang rasanya lemas tak terkira xf xf xa xa ,0,0,Netral,Positive
 tidak kak emak adalah tidak suka sama yang sipit wkwk ,0,0,Netral,Positive
 kelakuan homo jaman now ngentot saja sambil live di blued gay video gvid lokal hangat uniform resource locator,0,1,Abusive,Negative
 tidak kak gue bukan orang jawa maaf ya gue orang palembang soalnya kakak saja deh yang belajar aksara jawa atau kelak mau belajar budaya palembang ,0,0,Netral,Positive
pegawai guardian training lagi kayak mentang gue kayak gembel cuma kaos sama flat shoes bertanya dijutekin bangsat memang malas belinya juga kabur gue ke matahari ,1,1,Toxic,Negative
 xe x xdpara bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat xe x xd sanji hbdthpelautjkt ,0,1,Abusive,Negative
ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri ,0,0,Netral,Positive
 presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk rakyatbrsamajkw,0,0,Netral,Positive
edan memang tujuannya fabiano ,0,1,Abusive,Negative
tidak pernah mendalami al alquran ya bang pantas saja mulutnya kayak orang kafir bejat hina farhat abbas law ,1,1,Toxic,Negative
sangat terlihat beda sekali kewibawaannya yang sangat berwibawa cuma gubernur indonesia masya allah ,0,0,Netral,Positive
anjir baru kali ini lihat orang bego mau debat pilihan kepala daerah kerjanya menyerang karakter kecewa on kamu empok silvy and agus debat final pemilihan kepala daerah jakarta,1,1,Toxic,Negative
 gubernur zaman now gusipulputi ganjar yasin djarotsihar hasananton kosterace nurdinsudirman karolingidot rt keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan peserta rakercabsu ,0,0,Netral,Positive
 apa iya islam itu tidak boleh di lokalisasi lah kristen saja mas ada nusantaranya mas lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda jawa ada huria kristen batak protestan juga kurang nusantara apa ,0,0,Netral,Positive
ciptakan situasi keamanan dan ketertiban masyarakat menjelang pilihan kepala daerah kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat,0,0,Netral,Positive
 positif kok nse positif respon masyarakat terhadap dan cangkul impor dan garam impor dan beras impor dan jagung impor dan tenaga kerja impor dan esemka impor dan nurl,0,0,Netral,Positive
 kata sembahyang mengadopsi tradisi lokal pada masa pekerjaan hindu dan istilah xc xasembahyang xc xapun lahir dari tradisi ritus xc xamenyembahhyang yang tunggal sama dengan xc xashalat menyembah all,0,0,Netral,Positive
kamu pendidikan tinggi tapi bodoh tidak ada larang bawa agama biar orang islam yang di bayar ahok sadar tidak jadi memilih ahok gila,1,1,Toxic,Negative
 ahok the best abaikan kaum kampret otak micin ,1,1,Toxic,Negative
 sih otak tempurung adalah tidak usah di meladeni semakin di lawan semakin belum dan dungu dan kalau tidak begitu dia tidak makan hehe ,1,1,Toxic,Negative
